date,heating degrees,occupancy,steam-LBS
12/8/12,8.5875,0.5,25364.764
12/9/12,8.125,0.5,22973.01432
12/10/12,4.458333333,1,18932.19076
12/11/12,7.791666667,1,25150.71777
12/12/12,13.25833333,1,35325.91797
12/13/12,12.75416667,1,31683.37402
12/14/12,11.02916667,1,29422.68717
12/15/12,12.56666667,0.5,28387.0459
12/16/12,13.125,0.5,33943.70443
12/17/12,9.583333333,1,37967.67578
12/18/12,7.458333333,1,25773.61816
12/19/12,9.666666667,1,30904.62565
12/20/12,11.75,1,27011.3265
12/21/12,8.541666667,1,21874.47917
12/22/12,13.62916667,0.2,39736.05469
12/23/12,14,0.2,24333.8151
12/24/12,12.95833333,0,20495.44271
12/25/12,14.875,0,20609.24479
12/26/12,15.33333333,0,35156.67806
12/27/12,11.20833333,0,31867.74902
12/28/12,15.04166667,0,43113.2487
12/29/12,15.16666667,0,31412.20703
12/30/12,17.54166667,0,35104.02995
1/2/13,21.08333333,0.3,55423.26172
1/3/13,24.1375,0.3,62337.94922
1/4/13,16.475,0.3,49423.42773
1/5/13,15.2875,0.3,30612.38444
1/6/13,14.19166667,0.3,29969.27897
1/7/13,14.75,0.3,38161.21745
1/8/13,13.025,0.3,34245.3125
1/9/13,12.2625,0.3,34360.83659
1/10/13,12.59166667,0.3,30610.26367
1/11/13,13.025,0.3,34787.73763
1/12/13,10.6,0.3,23696.96289
1/13/13,7.641666667,0.3,19648.02083
1/14/13,6.3375,0.3,20000.95052
1/15/13,12.06666667,0.3,31267.2526
1/16/13,14.48333333,0.3,39320.6901
1/17/13,13.69583333,0.3,35159.11458
1/18/13,21.32083333,0.3,51319.29036
1/19/13,13.62083333,0.3,29051.35417
1/20/13,11.975,0.1,25979.34245
1/21/13,18.2,0.291666667,50856.3151
1/22/13,20.77083333,0.3,64292.57487
1/23/13,26.3,0.3,73456.40625
1/24/13,26.93333333,0.3,73861.6276
1/25/13,23.83333333,0.3,67721.75781
1/26/13,23.5,0.3,47807.34701
1/27/13,22.47916667,0.491666667,48391.6862
1/28/13,19.37083333,1,55866.36719
1/29/13,15.27083333,1,43392.23307
1/30/13,6.620833333,1,28649.28385
1/31/13,7.433333333,1,29589.38965
2/1/13,16.89583333,1,44848.33008
2/2/13,18.77083333,0.5,36759.02344
2/3/13,17.74166667,0.5,37908.986
2/4/13,18.44166667,1,52265.02604
2/5/13,18.99583333,1,49212.27865
2/6/13,16.475,1,43549.67448
2/7/13,20.175,1,43706.62598
2/8/13,15.8375,1,43752.75716
