date	timestamp	cooling degrees	solar radiation	weekday	dehumidification	occupancy	chilledWater-TonDays
9/10/12	1347235200000	5	209.875	0	0.000114755	1	52.65900612
9/11/12	1347321600000	4.791666667	257.25	1	0	1	57.20866815
9/12/12	1347408000000	5.791666667	249.1666667	2	0.000307299	1	72.05208508
9/13/12	1347494400000	9.041666667	245.4166667	3	0.001402587	1	92.54433972
9/14/12	1347580800000	9.041666667	243.0833333	4	0.002168827	1	97.99225331
9/15/12	1347667200000	7.208333333	178.7083333	5	0.000943463	0.5	43.11441726
9/16/12	1347753600000	5.208333333	246.875	6	0	0.5	42.36215483
9/17/12	1347840000000	4.625	240.5416667	0	0.000126724	1	67.42583823
9/18/12	1347926400000	7.916666667	86.875	1	0.002459184	1	68.84551532
9/19/12	1348012800000	7	197.3333333	2	0.001240449	1	45.5206984
9/20/12	1348099200000	1.958333333	216.5	3	0	1	24.70914541
9/21/12	1348185600000	1.875	176.75	4	1.90E-05	1	19.37900859
9/22/12	1348272000000	4.041666667	220.25	5	0.000895543	0.5	14.08945454
9/23/12	1348358400000	6.166666667	229.0416667	6	0.0008805	0.5	24.35520286
9/24/12	1348444800000	2.895833333	184	0	0	1	26.2223241
9/25/12	1348531200000	4.625	222.9583333	1	0	1	34.69158448
9/26/12	1348617600000	7.375	86.375	2	0.001695671	1	40.68332333
9/27/12	1348704000000	4.875	174.5833333	3	0.000813289	1	42.57706514
9/28/12	1348790400000	1.666666667	22.125	4	9.71E-05	1	19.51252381
9/29/12	1348876800000	1.083333333	47.25	5	7.91E-05	0.5	14.90114877
9/30/12	1348963200000	1.208333333	63.16666667	6	0	0.5	16.94666396
10/1/12	1349049600000	3.416666667	157.3333333	0	0	1	35.78309555
10/2/12	1349136000000	5	111	1	0.000480821	1	39.34353202
10/3/12	1349222400000	4.25	26.875	2	0.001814217	1	44.48441205
10/4/12	1349308800000	3.791666667	25.20833333	3	0.001380115	1	36.00765851
10/5/12	1349395200000	6.541666667	155.6666667	4	0.001275322	1	65.62539699
